scenario,label,year,L1_pH_mean,L1_pH_dec,phreeqc_ok
natural,自然状态 (仅降水),1,3.905,3.907,1
natural,自然状态 (仅降水),2,3.909,3.910,1
natural,自然状态 (仅降水),3,3.911,3.911,1
natural,自然状态 (仅降水),4,3.911,3.911,1
natural,自然状态 (仅降水),5,3.827,3.729,0
natural,自然状态 (仅降水),6,3.626,3.541,0
natural,自然状态 (仅降水),7,3.439,3.345,0
natural,自然状态 (仅降水),8,3.207,3.085,0
natural,自然状态 (仅降水),9,2.968,2.874,0
natural,自然状态 (仅降水),10,2.753,2.653,0
natural,自然状态 (仅降水),11,2.504,2.373,0
natural,自然状态 (仅降水),12,2.232,2.112,0
natural,自然状态 (仅降水),13,2.036,2.000,0
natural,自然状态 (仅降水),14,2.000,2.000,0
natural,自然状态 (仅降水),15,2.000,2.000,0
natural,自然状态 (仅降水),16,2.000,2.000,0
natural,自然状态 (仅降水),17,2.000,2.000,0
natural,自然状态 (仅降水),18,2.000,2.000,0
natural,自然状态 (仅降水),19,2.000,2.000,0
natural,自然状态 (仅降水),20,2.000,2.000,0
natural,自然状态 (仅降水),21,2.000,2.000,0
natural,自然状态 (仅降水),22,2.000,2.000,0
natural,自然状态 (仅降水),23,2.000,2.000,0
natural,自然状态 (仅降水),24,2.000,2.000,0
natural,自然状态 (仅降水),25,2.000,2.000,0
natural,自然状态 (仅降水),26,2.000,2.000,0
natural,自然状态 (仅降水),27,2.000,2.000,0
natural,自然状态 (仅降水),28,2.000,2.000,0
natural,自然状态 (仅降水),29,2.000,2.000,0
natural,自然状态 (仅降水),30,2.000,2.000,0
fertilizer,常规施肥,1,8.104,10.277,1
fertilizer,常规施肥,2,10.833,11.103,1
fertilizer,常规施肥,3,11.204,11.227,1
fertilizer,常规施肥,4,11.131,10.994,0
fertilizer,常规施肥,5,10.832,10.701,0
fertilizer,常规施肥,6,10.563,10.453,0
fertilizer,常规施肥,7,10.315,10.196,0
fertilizer,常规施肥,8,10.022,9.875,0
fertilizer,常规施肥,9,9.722,9.602,0
fertilizer,常规施肥,10,9.446,9.321,0
fertilizer,常规施肥,11,9.136,8.980,0
fertilizer,常规施肥,12,8.804,8.658,0
fertilizer,常规施肥,13,8.512,8.380,0
fertilizer,常规施肥,14,8.243,8.118,0
fertilizer,常规施肥,15,7.969,7.832,0
fertilizer,常规施肥,16,7.655,7.523,0
fertilizer,常规施肥,17,7.336,7.174,0
